postalcode,District,Latitude,Longitude,Population
75409,Anna,33.356094,-96.51907,4757
75422,Campbell,33.146779,-95.93998,2746
75423,Celeste,33.291418,-96.20273,2335
75424,Blue Ridge,33.321604,-96.39502,2845
75428,Commerce,33.25868,-95.91061,9392
75442,Farmersville,33.171899,-96.35096,7431
75453,Lone Oak,32.952736,-95.94594,3101
75454,Melissa,33.277317,-96.57345,2393
75474,Quinlan,32.896295,-96.06999,13438
75496,Wolfe City,33.350543,-96.05705,2794
76001,Arlington,32.634203,-97.14403,21566
76002,Arlington,32.632349,-97.0963,7355
76006,Arlington,32.778047,-97.08088,24678
76008,Aledo,32.690922,-97.64013,8260
76009,Alvarado,32.408183,-97.20956,17444
76010,Arlington,32.723382,-97.08498,53757
76011,Arlington,32.753672,-97.08706,29898
76012,Arlington,32.752048,-97.13514,25488
76013,Arlington,32.721632,-97.14698,32134
76014,Arlington,32.694666,-97.08748,31127
76015,Arlington,32.691393,-97.13546,16063
76016,Arlington,32.686863,-97.19234,30814
76017,Arlington,32.659277,-97.16435,42060
76018,Arlington,32.65392,-97.08724,23918
76020,Azle,32.905693,-97.54845,23303
76021,Bedford,32.851678,-97.13849,33643
76022,Bedford,32.831228,-97.14593,14038
76023,Boyd,33.068301,-97.59099,5334
76028,Burleson,32.535841,-97.30681,38776
76031,Cleburne,32.343115,-97.40081,38561
76033,Cleburne,32.350907,-97.410254,29878
76034,Colleyville,32.885062,-97.14923,19643
76035,Cresson,32.546387,-97.64633,414
76036,Crowley,32.573816,-97.38491,12731
76039,Euless,32.858727,-97.08453,28066
76040,Euless,32.826172,-97.09721,23072
76041,Forreston,32.244026,-96.86701,366
76043,Glen Rose,32.228184,-97.77198,5695
76044,Godley,32.442679,-97.52595,3267
76048,Granbury,32.424695,-97.78894,19318
76049,Granbury,32.440376,-97.72002,18591
76050,Grandview,32.27442,-97.19282,5180
76051,Grapevine,32.93195,-97.08498,41813
76052,Fort Worth,32.972998,-97.35592,2912
76053,Hurst,32.821378,-97.181,24253
76054,Hurst,32.858398,-97.17681,11686
76058,Joshua,32.461964,-97.40774,14447
76059,Keene,32.39286,-97.3275,4614
76060,Kennedale,32.645257,-97.21458,5141
76061,Lillian,32.502674,-97.16347,465
76063,Mansfield,32.57701,-97.13485,32675
76064,Maypearl,32.307456,-97.02761,1268
76065,Midlothian,32.484094,-96.98672,16521
76066,Millsap,32.715412,-98.00165,2833
76070,Nemo,32.259829,-97.65485,448
76071,Pecan Acres,33.003717,-97.48974,2932
76073,Paradise,33.122273,-97.71691,4132
76077,Rainbow,32.28122,-97.70927,543
76078,Rhome,33.072675,-97.473,5158
76082,Springtown,32.964932,-97.69803,14997
76084,Venus,32.434322,-97.09988,7237
76085,Weatherford,32.847183,-97.6986,8787
76086,Weatherford,32.77516,-97.77987,23884
76087,Weatherford,32.703008,-97.74814,17389
